id,manufacturer,model,icao24,callsign,origin_country,altitude_m,velocity_ms,estimated_fuel_burn_kg_h,estimated_co2_kg_h,captured_at,loaded_at
315,Boeing,BOEING 737-8AS,4ca246,RYR54BY,Ireland,5212.08,202.56,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
316,Airbus,A320-214,4ca216,EIN7LM,Ireland,10972.8,217.43,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
317,Boeing,BOEING 737-8AS,4ca225,,Ireland,,6.94,2400,7584,2026-08-17 20:37:12,2026-08-17 20:37:37.750911
318,Boeing,BOEING 737-8AS,4ca226,RYR16RE,Ireland,220.98,79.47,2400,7584,2026-08-17 20:32:54,2026-08-17 20:37:37.750911
319,Airbus,A320-214,4ca280,EIN887,Ireland,10965.18,226.31,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
320,Airbus,A320 216,342592,VLG39YY,Spain,8808.72,223.27,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
321,Boeing,BOEING 737-8AS,4ca264,RYR4744,Ireland,10668,236.9,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
322,Boeing,BOEING 737-8AS,4ca24f,RYR5BQ,Ireland,11582.4,214.61,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
323,Boeing,BOEING 737-8AS,4ca24e,RYR2AT,Ireland,2788.92,128.39,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
324,Boeing,BOEING 737-8AS,4ca24d,RYR7HN,Ireland,701.04,83.82,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
325,Boeing,737NG 86N/W,49d26c,TVS7NT,Czech Republic,11277.6,236.27,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
326,Boeing,BOEING 737-8AS,4ca256,RYR7509,Ireland,3528.06,149.81,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
327,Boeing,BOEING 737-8AS,4ca259,RYR7LU,Ireland,11582.4,213.14,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
328,Boeing,BOEING 737-8AS,4ca25b,RYR2NQ,Ireland,10363.2,200.97,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
329,Boeing,BOEING 737-8AS,4ca25a,RYR9LD,Ireland,4892.04,156.72,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
330,Airbus,AIRBUS A320-214,406b90,EZY63GU,United Kingdom,6697.98,185.37,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
331,Boeing,Boeing 737NG 8Q8/W,49d04d,TVS5FA,Czech Republic,8915.4,239.31,2400,7584,2026-08-17 20:37:23,2026-08-17 20:37:37.750911
332,Airbus,AIRBUS A320-232,406b83,EFW69BK,United Kingdom,10370.82,235.22,2500,7900,2026-08-17 20:37:02,2026-08-17 20:37:37.750911
333,Airbus,AIRBUS A320-232,406b84,EFW7SN,United Kingdom,10370.82,237.42,2500,7900,2026-08-17 20:37:25,2026-08-17 20:37:37.750911
334,Airbus,AIRBUS A320-232,406b5b,EFW6RQ,United Kingdom,10972.8,228.43,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
335,Airbus,AIRBUS A320-232,406b62,BAW335,United Kingdom,10980.42,215.8,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
336,Airbus,A320 214,3420cc,IBE07HH,Spain,10972.8,219.98,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
337,Airbus,A321 212,3420ca,IBE05YP,Spain,1203.96,101.48,2700,8532,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
338,Boeing,Boeing 737-8JP,47a32e,NOZ87G,Norway,11582.4,222.45,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
339,Boeing,737NG 800/W,39cea4,TVF19HL,France,11887.2,236.82,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
340,Boeing,737NG 800/W,39cea6,TVF34QV,France,9616.44,259.13,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
341,Boeing,BOEING 787-8 Dreamliner,406b13,TOM5DT,United Kingdom,12496.8,265.11,5500,17380,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
342,Airbus,A321neo,407e45,EXS72RD,United Kingdom,10980.42,230.87,2700,8532,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
343,Airbus,A320 214,440669,AUA36Z,Austria,990.6,86.05,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
344,Airbus,A320 214,440668,AUA96J,Austria,,5.92,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
345,Airbus,A320 214,440665,AUA472,Austria,10972.8,213.91,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
346,Airbus,Airbus A320 214,44065c,AUA220A,Austria,5775.96,211.89,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
347,Airbus,A320 214,44065b,AUA989D,Austria,1584.96,139.1,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
348,Airbus,A320-214,440609,AUA3P,Austria,129.54,68.65,2500,7900,2026-08-17 20:36:44,2026-08-17 20:37:37.750911
349,Boeing,737NG 8FN/W,49d13f,TVS2216,Czech Republic,701.04,83.74,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
350,Airbus,AIRBUS A319-111,4010ea,EZY81QH,United Kingdom,11887.2,229.03,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
351,Airbus,AIRBUS A319-111,4010ee,EZY54GT,United Kingdom,11582.4,214.9,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
352,Airbus,AIRBUS A319-111,4010ed,EZY48VW,United Kingdom,11582.4,212.83,2300,7268,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
353,Airbus,AIRBUS A319-111,4010ec,EZY35ZP,United Kingdom,10675.62,221.08,2300,7268,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
